epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.17941,1.72197,4.08269,1.48348,0.0069,0.89683,0.03748,0.01763,0.76211,3.08515,0.83168,0.00020006,0.00020006,0.00020006
2,16.9533,1.55739,4.03616,1.44906,0.00663,0.95238,0.02434,0.00909,0.68225,3.1612,0.8547,0.000393897,0.000393897,0.000393897
3,28.4652,1.56468,3.91833,1.36169,0.00804,0.95238,0.03087,0.01208,0.74428,3.10679,0.83374,0.000566513,0.000566513,0.000566513
4,39.2605,1.48597,3.7873,1.41706,0.00882,0.95238,0.04203,0.02123,0.75553,2.97924,0.80273,0.000717908,0.000717908,0.000717908
5,48.153,1.51538,3.68991,1.38304,0.00913,0.95238,0.02158,0.01161,0.78559,2.88456,0.82453,0.000848083,0.000848083,0.000848083
6,57.0049,1.75905,3.65461,1.36983,0.00945,0.95238,0.21013,0.1404,0.91819,2.71017,0.8776,0.000957037,0.000957037,0.000957037
7,66.8717,1.41701,3.38212,1.28534,0.45317,0.38889,0.21455,0.13194,0.99423,2.5983,0.9295,0.00100459,0.00100459,0.00100459
8,76.9322,1.33003,3.43593,1.2699,0.47448,0.42121,0.22435,0.13153,0.97983,2.78141,0.94018,0.000933851,0.000933851,0.000933851
9,86.5465,1.19261,3.08891,1.18458,0.64893,0.43563,0.30999,0.17702,0.95742,3.29942,0.92172,0.000863116,0.000863116,0.000863116
10,98.1312,1.3246,3.0774,1.29999,0.50884,0.55249,0.33593,0.19364,1.01055,4.33248,0.93458,0.00079238,0.00079238,0.00079238
11,107.961,0.81753,2.39555,1.07442,0.50884,0.55249,0.33593,0.19364,1.01055,4.33248,0.93458,0.000721645,0.000721645,0.000721645
12,117.525,0.7257,2.07365,0.9862,0.23333,0.7619,0.35421,0.22875,0.99451,3.90876,0.91951,0.000650909,0.000650909,0.000650909
13,126.886,0.47945,1.88329,0.68683,0.26924,0.90476,0.32885,0.2262,0.86202,4.45042,0.86025,0.000580174,0.000580174,0.000580174
14,136.989,0.60699,1.88171,0.94518,0.27909,0.87394,0.34563,0.23609,0.81846,3.86162,0.85093,0.000509438,0.000509438,0.000509438
15,144.105,0.62738,1.82979,0.97195,0.30635,0.87371,0.39675,0.30264,0.70583,3.8195,0.81732,0.000438703,0.000438703,0.000438703
16,147.961,0.47414,1.78094,0.90855,0.34947,0.7443,0.47199,0.35716,0.64229,4.13341,0.79437,0.000367967,0.000367967,0.000367967
17,151.254,0.62408,1.89369,0.78622,0.34752,0.86132,0.47281,0.35501,0.62928,3.53698,0.79951,0.000297232,0.000297232,0.000297232
18,154.079,0.4777,1.61625,0.70657,0.36327,0.88506,0.53903,0.40158,0.64252,3.08545,0.80651,0.000226497,0.000226497,0.000226497
19,157.321,0.59222,1.70801,0.96127,0.38841,0.86772,0.54886,0.40631,0.64468,2.60294,0.80988,0.000155761,0.000155761,0.000155761
20,160.172,0.48635,1.7327,0.83045,0.37078,0.85657,0.54998,0.40723,0.63862,2.3475,0.80899,8.50255e-05,8.50255e-05,8.50255e-05
